Titre de tracé : 816
Id,Date,Heure_GMT_plus2h,Temp
1,30/03/2011,16:00:00,22.321
2,30/03/2011,18:00:00,21.867
3,30/03/2011,20:00:00,21.175
4,30/03/2011,22:00:00,20.817
5,31/03/2011,00:00:00,20.627
6,31/03/2011,02:00:00,20.674
7,31/03/2011,04:00:00,21.151
8,31/03/2011,06:00:00,21.294
9,31/03/2011,08:00:00,21.342
10,31/03/2011,10:00:00,21.342
11,31/03/2011,12:00:00,21.772
12,31/03/2011,14:00:00,22.011
13,31/03/2011,16:00:00,22.154
14,31/03/2011,18:00:00,22.226
15,31/03/2011,20:00:00,21.843
16,31/03/2011,22:00:00,21.437
17,01/04/2011,00:00:00,21.151
18,01/04/2011,02:00:00,20.984
19,01/04/2011,04:00:00,21.342
20,01/04/2011,06:00:00,21.485
21,01/04/2011,08:00:00,21.461
22,01/04/2011,10:00:00,21.461
23,01/04/2011,12:00:00,21.676
24,01/04/2011,14:00:00,22.178
25,01/04/2011,16:00:00,22.824
26,01/04/2011,18:00:00,22.824
27,01/04/2011,20:00:00,22.393
28,01/04/2011,22:00:00,22.011
29,02/04/2011,00:00:00,21.724
30,02/04/2011,02:00:00,21.437
31,02/04/2011,04:00:00,21.175
32,02/04/2011,06:00:00,20.960
33,02/04/2011,08:00:00,20.770
34,02/04/2011,10:00:00,20.627
35,02/04/2011,12:00:00,20.650
36,02/04/2011,14:00:00,20.793
37,02/04/2011,16:00:00,20.960
38,02/04/2011,18:00:00,20.960
39,02/04/2011,20:00:00,20.817
40,02/04/2011,22:00:00,20.579
41,03/04/2011,00:00:00,20.365
42,03/04/2011,02:00:00,20.126
43,03/04/2011,04:00:00,19.936
44,03/04/2011,06:00:00,19.722
45,03/04/2011,08:00:00,19.532
46,03/04/2011,10:00:00,19.413
47,03/04/2011,12:00:00,19.484
48,03/04/2011,14:00:00,19.532
49,03/04/2011,16:00:00,19.508
50,03/04/2011,18:00:00,19.579
51,03/04/2011,20:00:00,19.746
52,03/04/2011,22:00:00,20.269
53,04/04/2011,00:00:00,20.531
54,04/04/2011,02:00:00,20.603
55,04/04/2011,04:00:00,20.674
56,04/04/2011,06:00:00,20.698
57,04/04/2011,08:00:00,20.722
58,04/04/2011,10:00:00,20.698
59,04/04/2011,12:00:00,20.984
60,04/04/2011,14:00:00,20.841
61,04/04/2011,16:00:00,20.865
62,04/04/2011,18:00:00,21.079
63,04/04/2011,20:00:00,20.746
64,04/04/2011,22:00:00,20.388
65,05/04/2011,00:00:00,20.150
66,05/04/2011,02:00:00,20.246
67,05/04/2011,04:00:00,20.698
